MC,CI,DC,RPM,ED,ER,VI,velocity_x_theoretical
6.900000, 0.290000, 0.052000, 2821.000000,0.458100, 0.001600, 11.800000, 0.548449
6.860000, 0.290000, 0.050000, 2821.000000,0.458200, 0.001600, 11.700000, 0.548449
6.530000, 0.270000, 0.051000, 2820.000000,0.458200, 0.001600, 11.700000, 0.548254
6.630000, 0.280000, 0.051000, 2814.000000,0.458200, 0.001600, 11.700000, 0.547088
6.600000, 0.270000, 0.051000, 2815.000000,0.458200, 0.001600, 11.800000, 0.547282
6.400000, 0.270000, 0.049000, 2818.000000,0.458200, 0.001600, 11.800000, 0.547865
6.620000, 0.280000, 0.050000, 2820.000000,0.458300, 0.001600, 11.600000, 0.548254
6.050000, 0.250000, 0.051000, 2822.000000,0.458300, 0.001600, 11.700000, 0.548643
5.570000, 0.230000, 0.050000, 2826.000000,0.458300, 0.001600, 11.700000, 0.549421
5.140000, 0.210000, 0.048000, 2840.000000,0.458300, 0.001600, 11.700000, 0.552143
5.550000, 0.230000, 0.049000, 2848.000000,0.458300, 0.001600, 11.700000, 0.553698
4.950000, 0.200000, 0.050000, 2848.000000,0.458300, 0.001600, 11.800000, 0.553698
5.300000, 0.210000, 0.048000, 2851.000000,0.458300, 0.001600, 11.700000, 0.554281
5.790000, 0.240000, 0.049000, 2857.000000,0.458400, 0.001600, 11.700000, 0.555448
6.260000, 0.260000, 0.051000, 2849.000000,0.458400, 0.001600, 11.700000, 0.553892
6.390000, 0.260000, 0.051000, 2840.000000,0.458400, 0.001600, 11.800000, 0.552143
7.080000, 0.300000, 0.049000, 2836.000000,0.458400, 0.001600, 11.800000, 0.551365
7.440000, 0.320000, 0.052000, 2829.000000,0.458400, 0.001600, 11.800000, 0.550004
6.930000, 0.290000, 0.052000, 2823.000000,0.458500, 0.001600, 11.700000, 0.548838
6.170000, 0.260000, 0.049000, 2828.000000,0.458500, 0.001600, 11.700000, 0.549810
6.560000, 0.270000, 0.050000, 2827.000000,0.458500, 0.001600, 11.700000, 0.549615
6.280000, 0.260000, 0.052000, 2826.000000,0.458500, 0.001600, 11.700000, 0.549421
5.870000, 0.240000, 0.049000, 2830.000000,0.458500, 0.001600, 11.700000, 0.550198
6.010000, 0.250000, 0.050000, 2831.000000,0.458500, 0.001600, 11.800000, 0.550393
6.500000, 0.270000, 0.050000, 2826.000000,0.458600, 0.001600, 11.700000, 0.549421
6.960000, 0.290000, 0.051000, 2821.000000,0.458600, 0.001600, 11.700000, 0.548449
7.130000, 0.300000, 0.051000, 2816.000000,0.458600, 0.001600, 11.700000, 0.547477
7.130000, 0.300000, 0.051000, 2813.000000,0.458600, 0.001600, 11.800000, 0.546893
6.750000, 0.280000, 0.050000, 2812.000000,0.458600, 0.001600, 11.700000, 0.546699
7.210000, 0.300000, 0.051000, 2804.000000,0.458700, 0.001600, 11.800000, 0.545144
7.260000, 0.310000, 0.051000, 2800.000000,0.458700, 0.001600, 11.800000, 0.544366
7.080000, 0.300000, 0.049000, 2803.000000,0.458700, 0.001600, 11.700000, 0.544949
6.740000, 0.280000, 0.051000, 2806.000000,0.458700, 0.001600, 11.700000, 0.545532
6.560000, 0.270000, 0.050000, 2807.000000,0.458700, 0.001600, 11.800000, 0.545727
6.070000, 0.250000, 0.051000, 2813.000000,0.458800, 0.001600, 11.800000, 0.546893
6.370000, 0.260000, 0.050000, 2814.000000,0.458800, 0.001600, 11.800000, 0.547088
