roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.717039, -2.510858, -30.808347, 0.051758,-0.066406, 0.999023, 0.061035, 0.305176, 0.244141, 0.025442, 0.029724,-0.264738,-0.963526,-0.064875,-0.043823,0.537707, 0.000000
3.654927, -2.414670, -30.809829, 0.038574,-0.068848, 1.063965, 0.244141, 0.122070, 0.061035, 0.025143, 0.028772,-0.264797,-0.963547,-0.063791,-0.042144,0.537733, 0.000000
3.693351, -2.329597, -30.813224, 0.042969,-0.067871, 1.048340, -0.488281, 0.183105, 0.122070, 0.025663, 0.028147,-0.264843,-0.963539,-0.064461,-0.040659,0.537792, 0.000000
3.730534, -2.477313, -30.818473, 0.046387,-0.064453, 1.005371, 0.549316, 0.549316, 0.183105, 0.025631, 0.029476,-0.264830,-0.963504,-0.065110,-0.043237,0.537884, 0.000000
3.621402, -2.382356, -30.817848, 0.042969,-0.065918, 1.055664, 0.671387, 0.488281, 0.305176, 0.024934, 0.028425,-0.264883,-0.963539,-0.063205,-0.041580,0.537873, 0.000000
3.729564, -2.410198, -30.824476, 0.044434,-0.068848, 1.049805, -0.427246, 0.366211, 0.183105, 0.025777, 0.028911,-0.264903,-0.963497,-0.065093,-0.042066,0.537989, 0.000000
3.678536, -2.557718, -30.823927, 0.051270,-0.066406, 1.028809, 0.122070, 0.183105, 0.061035, 0.025006, 0.030032,-0.264864,-0.963494,-0.064203,-0.044641,0.537979, 0.000000
3.658301, -2.471834, -30.827219, 0.044922,-0.066406, 1.041016, 0.244141, 0.061035, 0.183105, 0.025034, 0.029264,-0.264924,-0.963500,-0.063849,-0.043142,0.538036, 0.000000
3.679634, -2.410164, -30.828906, 0.042969,-0.066895, 1.048828, 0.305176, 0.488281, 0.000000, 0.025356, 0.028796,-0.264953,-0.963498,-0.064222,-0.042065,0.538066, 0.000000
3.798811, -2.480591, -30.835886, 0.044922,-0.068848, 1.031250, 0.183105, 0.427246, 0.122070, 0.026193, 0.029665,-0.264958,-0.963448,-0.066302,-0.043294,0.538188, 0.000000
3.799855, -2.467697, -30.839974, 0.044922,-0.071777, 1.040039, 0.488281, 0.488281, 0.061035, 0.026231, 0.029560,-0.264996,-0.963439,-0.066320,-0.043069,0.538259, 0.000000
3.755264, -2.417359, -30.840196, 0.045410,-0.070801, 1.050293, -0.366211, 0.244141, 0.183105, 0.025973, 0.029034,-0.265026,-0.963454,-0.065542,-0.042191,0.538263, 0.000000
3.712276, -2.498291, -30.840179, 0.046387,-0.065918, 1.028809, 0.427246, 0.366211, 0.061035, 0.025423, 0.029614,-0.265011,-0.963455,-0.064791,-0.043603,0.538263, 0.000000
3.664989, -2.567489, -30.842757, 0.047363,-0.063965, 1.033691, 0.854492, 0.305176, 0.122070, 0.024864, 0.030087,-0.265022,-0.963452,-0.063966,-0.044811,0.538308, 0.000000
3.707443, -2.521436, -30.847832, 0.047852,-0.068359, 1.043945, 0.427246, 0.549316, 0.183105, 0.025327, 0.029800,-0.265069,-0.963436,-0.064707,-0.044007,0.538396, 0.000000
3.706844, -2.460644, -30.849000, 0.049316,-0.067871, 1.031250, -0.244141, 0.305176, 0.061035, 0.025463, 0.029287,-0.265098,-0.963440,-0.064697,-0.042946,0.538417, 0.000000
3.743855, -2.357901, -30.855690, 0.041016,-0.069336, 1.033203, 0.244141, 0.061035, 0.244141, 0.026011, 0.028511,-0.265179,-0.963427,-0.065343,-0.041153,0.538533, 0.000000
3.651275, -2.411424, -30.855106, 0.044922,-0.065430, 1.037109, -0.061035, 0.183105, 0.122070, 0.025109, 0.028747,-0.265180,-0.963443,-0.063727,-0.042087,0.538523, 0.000000
3.718213, -2.501005, -30.859976, 0.046387,-0.066406, 1.030762, 0.671387, 0.488281, 0.183105, 0.025462, 0.029655,-0.265175,-0.963408,-0.064895,-0.043651,0.538608, 0.000000
3.755367, -2.560363, -30.864532, 0.044434,-0.071777, 1.034668, 0.183105, 0.366211, 0.244141, 0.025635, 0.030241,-0.265184,-0.963382,-0.065544,-0.044687,0.538688, 0.000000
3.698361, -2.375154, -30.866380, 0.042969,-0.067871, 1.045898, -0.061035, 0.427246, 0.061035, 0.025586, 0.028553,-0.265274,-0.963410,-0.064549,-0.041454,0.538720, 0.000000
3.614664, -2.459782, -30.866014, 0.048828,-0.066895, 1.036133, -0.427246, 0.000000, 0.122070, 0.024685, 0.029071,-0.265265,-0.963421,-0.063088,-0.042931,0.538714, 0.000000
